1976,,"7,401","3,875",,"27,223",,"38,499"
1977,,"7,031","4,188",,"28,381",,"39,600"
1978,,"7,001","4,550",,"28,705",,"40,256"
1979,,"7,611","5,824",,"29,211",,"42,646"
1980,,"7,745","5,347",,"33,670",,"46,762"
1981,,"6,481","3,862",,"30,090",,"40,433"
1982,,"6,288","3,729",,"28,621",,"38,638"
1983,,"6,049","3,907",,"27,580",,"37,536"
1984,,"5,154","3,350",,"26,047",,"34,551"
1985,,"4,843","3,381",,"22,833",,"31,057"
1986,,"4,589","3,185",,"21,546",,"29,320"
1987,,"4,581","3,423",,"22,052",,"30,056"
1988,,"4,697","3,240",,"22,047",,"29,984"
1989,,"4,714","3,194",,"22,218",,"30,126"
1990,,"4,334","3,041",,"22,999",,"30,374"
1991,,"4,416","3,099",,"23,427",,"30,942"
1992,,"4,155","3,170",,"24,063",,"31,388"
1993,,"4,369","3,207",,"24,017",,"31,593"
1994,,"4,867","3,372",,"23,669",,"31,908"
1995,,"4,713","3,339",,"23,133",,"31,185"
1996,,"4,937","3,208",,"24,485",,"32,630"
1997,,"4,584","2,881",,"26,260",,"33,725"
1998,,"4,899","3,042",,"26,313",,"34,254"
1999,,"4,684","3,281",,"26,074",,"34,039"
