number,citation,signing_date,document_number,notes
13099,,1998-08-20,98-22940,"Amends: EO 12947, January 23, 1995
See: EO 13371, February 16, 2005; Notice of January 19, 2000; Notice of January 19, 2001; Notice of January 18, 2002; Notice of January 20, 2003; Notice of January 16, 2004; Notice of January 17, 2005; Notice of January 18, 2006; Notice of January 18, 2007; Notice of January 18, 2008; Notice of January 15, 2009; Notice of January 20, 2010"
13100,,1998-08-25,98-23258,"Amended by: EO 13286, February 28, 2003"
13101,,1998-09-14,98-25023,"Revokes: EO 12873, October 20, 1993
Revoked by: EO 13423, January 24, 2007
See: EO 12843, April 21, 1993; EO 12845, April 21, 1993; EO 12856, August 3, 1993; EO 12902, March 8, 1994; EO 12969, August 8, 1995; EO 13031, December 13, 1996; EO 13148, April 21, 2000; EO 13149, April 21, 2000; Proc. 7250, November 15, 1999"
13102,,1998-09-25,98-26250,"Amends: EO 13038, March 11, 1997
Note: EO 13102 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999."
13103,,1998-09-30,98-26799,"See: EO 13011, July 16, 1996"
13104,,1998-10-19,98-28471,"Amends: EO 13021, October 19, 1996"
13105,,1998-11-02,98-30054,
13106,,1998-12-07,98-32953,"Amends: EO 12748, February 1, 1991
Supersedes: EO 13071, December 29, 1997
Superseded by: EO 13144, December 21, 1999 (in part)"
13107,,1998-12-10,98-33348,
13108,,1998-12-11,98-33382,"Amends: EO 13037, March 3, 1997
Note: EO 13108 is nullified by virtue of the Commission being abolished by EO 13138, September 30, 1999."
13109,,1998-12-17,98-34034,
13110,,1999-01-11,99-980,
13111,,1999-01-12,99-1185,"Amended by: EO 13188, January 12, 2001; EEO 13218, June 20, 2001
Revoked (in part) by: EO 13316, September 17, 2003"
13112,,1999-02-03,99-3184,"Amended by: EO 13286, February 28, 2003
Revokes: EO 11987, May 24, 1977"
13113,,1999-02-10,99-3832,"Amends: EO 13035, February 11, 1997
See: EO 13200, February 11, 2001; EO 13215, May 31, 2001"
13114,,1999-02-28,99-5164,"Amends: EO 12852, June 29, 1993
Note: EO 13114 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999."
13115,,1999-03-25,99-7999,"Amended by: EO 13138, September 30, 1999"
13116,,1999-03-31,99-8433,
13117,,1999-03-31,99-8509,"Amends: EO 12981, December 5, 1995
Note: This Executive order amends the administration of export controls"
13118,,1999-03-31,99-8547,"Amends: EO 11223 of May 12, 1965; EO 11269 of February 14, 1966; EO 11958 of January 18, 1977; EO 12163 of September 29, 1979; EO 12188 of January 2, 1980; EO 12260 of December 31, 1980; EO 12293 of February 23, 1981; EO 12301 of March 26, 1981; EO 12703 of February 20, 1990; EO 12884 of December 1, 1993; Memorandum of March 23, 1999
Revokes: EO 12599 of June 23, 1987"
13119,,1999-04-13,99-9738,
13120,,1999-04-27,99-10901,"Amended by: EO 13286, February 28, 2003"
13121,,1999-04-30,99-11410,"Amends: EO 13088, June 9, 1998
See: Notice of May 25, 2000; EO 13192, January 17, 2001; Notice of May 24, 2001
Revoked by: EO 13304, May 28, 2003"
13122,,1999-05-25,99-13825,"Amended by: EO 13284, January 23, 2003"
13123,,1999-06-03,99-14633,"Revokes: EO 12759, April 17, 1991; EO 12845, April 21, 1993; EO 12902, March 9, 1994
Revoked by: EO 13423, January 24, 2007
See: EO 13148, April 21, 2000"
13124,,1999-06-04,99-14825,
13125,,1999-06-07,99-14901,"Amended by: EO 13216, June 6, 2001
Superseded by: EO 13515, October 14, 2009"
13126,,1999-06-12,99-15491,
13127,,1999-06-14,99-15623,"Amends: EO 13073, February 4, 1998"
13128,,1999-06-25,99-16634,"Amends: EO 12938, November 14, 1994"
13129,,1999-07-04,99-17444,"See: EO 13268, July 2, 2002"
13130,,1999-07-14,99-18476,"Revoked by: EO 13231, October 16, 2001
See: EO 13010, July 15, 1996; EO 13286, February 28, 2003"
13131,,1999-07-22,99-19396,"Amends: EO 12757, March 19, 1991
See: EO 12823, December 3, 1992; EO 13028, December 3, 1996
Revoked by: EO 13345, July 8, 2004"
13132,,1999-08-04,99-20729,"Revokes: EO 12612, October 26, 1987; EO 12875, October 26, 1993; EO 13083, May 14, 1998; EO 13095, August 5, 1998
Supplements: EO 12372, July 14, 1982; EO 12866, September 30, 1993; EO 12988, February 5, 1996
See: EO 13175, November 6, 2000"
13133,,1999-08-05,99-20924,"Amended by: EO 13286, February 28, 2003"
13134,,1999-08-12,99-21392,"Revoked by: EO 13225, September 28, 2001 (in part); EO 13423, January 24, 2007
See: EO 13148, April 21, 2000"
13135,,1999-08-27,99-22778,"Amends: EO 12216, June 18, 1980"
13136,,1999-09-03,99-23508,"Amends: EO 13090, June 29, 1998"
13137,,1999-09-15,99-24582,"Amends: EO 12975, October 3, 1995
See: EO 13316, September 17, 2003"
13138,,1999-09-30,99-25958,"Amends: EO 12131, May 4, 1979; EO 12345, February 2, 1982; EO 12367, June 15, 1982; EO 13115, March 25, 1999
Supersedes: EO 13062, September 29, 1997 (in part)
Revokes: EO 12852, June 29, 1993; EO 12961, May 26, 1995; EO 13010, July 15, 1996, (in part); EO 13017, September 5, 1996; EO 13037, March 3, 1997; EO 13038, March 11, 1997; EO 13050, June 13, 1997
Superseded by: EO 13225, September 28, 2001 (in part)
Revoked by: EO 13226, September 30, 2001 (in part)"
13139,,1999-09-30,99-26078,"See: Food and Drug Administration rule of May 25, 1999 (64 FR 54180)"
13140,,1999-10-06,99-26670,"Amends: EO 12473, April 13, 1984
See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12888, December 23, 1993; EO 12936, November 10, 1994; EO 12960, May 12, 1995; EO 13086, May 27, 1998"
13141,,1999-11-16,99-30346,
13142,,1999-11-19,99-30687,"Amends: EO 12958, April 17, 1995"
13143,,1999-12-01,99-31748,"Amends: EO 10173, October 18, 1950"
13144,,1999-12-21,99-33511,"Supersedes: EO 13106, December 7, 1998 (in part)
Superseded by: EO 13182, December 23, 2000"
13145,,2000-02-08,00-3331,
13146,,2000-02-29,00-5209,
13147,,2000-03-07,00-6126,"Amended by: EO 13167, September 15, 2000
Revoked by: EO 13316, September 17, 2003"
13148,,2000-04-21,00-10550,"Revokes: EO 12088, October 13, 1978 (in part); EO 12843, April 21, 1993; EO 12856, August 3, 1993; EO 12969, August 8, 1995; Memorandum of April 26, 1994
Revoked by: EO 13423, January 24, 2007
See:  EO 13101, September 14, 1998; EO 13123, June 3, 1999; EO 13134, August 12, 1999"
13149,,2000-04-21,00-10551,"Revokes: EO 13031, December 13, 1996
Revoked by: EO 13423, January 24, 2007
See:  EO 13101, September 14, 1998; Proc. 7308, May 15, 2000 (65 FR 31783)"
13150,,2000-04-21,00-10552,
13151,,2000-04-27,00-11070,"Amended by: EO 13284, January 23, 2003"
13152,,2000-05-02,00-11336,"Amends:  EO 11478, August 8, 1969
Note: This Executive order expands equal employment policy in the Federal Government by prohibiting discrimination based on parental status."
13153,,2000-05-03,00-11531,
13154,,2000-05-03,00-11532,"Amended by: EO 13286, February 28, 2003
See:  EO 10977, December 4, 1961; EO 12985, January 11, 1996"
13155,,2000-05-10,00-12177,
13156,,2000-05-17,00-12840,"Amends:  EO 12871, October 1, 1993
See:  EO 12983, December 21, 1995; EO 13203, February 17, 2001"
13157,,2000-05-23,00-13367,
13158,,2000-05-26,00-13830,"See:  Proc. 5030, March 10, 1983; Proc. 5928, December 27, 1988; Proc. 7219, September 2, 1999; EO 13178, December 4, 2000"
13159,,2000-06-21,00-16252,"See:  EO 12938, November 14, 1994; EO 13085, May 26, 1998; Notice of June 18, 2002; Notice of June 10, 2003; Notice of June 16, 2004; Notice of June 17, 2005; Notice of June 19, 2006; Notice of June 19, 2007; Notice of June 18, 2008; Notice of June 18, 2009; Notice of June 17, 2010"
13160,,2000-06-23,00-16434,"See:  EO 12250, November 2, 1980"
13161,,2000-06-29,00-17174,
13162,,2000-07-06,00-17829,"Revokes: EO 12596, May 7, 1987
Revoked by: EO 13562, December 27, 2010"
13163,,2000-07-26,00-19322,"See: EO 13548, July 26, 2010; EO 13583, August 18, 2011"
13164,,2000-07-26,00-19323,
13165,,2000-08-09,00-20670,"Amended by: EO 13286, February 28, 2003"
13166,,2000-08-11,00-20938,"See:  Department of Justice notice of August 16, 2000 (65 FR 50123)"
13167,,2000-09-15,00-24364,"Amends:  EO 13147, March 7, 2000"
13168,,2000-09-22,00-24978,"Revoked by: EO 13225, September 28, 2001"
13169,,2000-10-06,00-26397,
13170,,2000-10-06,00-26446,"See:  EO 11625, October 13, 1971"
13171,,2000-10-12,00-26716,"See: EO 13583, August 18, 2011"
13172,,2000-10-25,00-27892,"Amends:  EO 13078, March 13, 1998"
13173,,2000-10-25,00-27893,"Amended by: EO 13359, October 20, 2004"
13174,,2000-10-27,00-28299,"Revoked by: EO 13218, June 20, 2001"
13175,,2000-11-06,00-29003,"Revokes: EO 13084, May 14, 1998
See:  EO 12866, September 30, 1993; EO 12988, February 5, 1996; EO 13132, August 4, 1999; EO 13336, April 30, 2004; Memorandum of April 29, 1994"
13176,,2000-11-27,00-30690,"Superseded by: EO 13476, October 9, 2008"
13177,,2000-12-04,00-31252,"Revoked (in part) by: EO 13316, September 17, 2003"
13178,,2000-12-04,00-31313,"Amended by: EO 13196, January 18, 2001
See:  EO 13089, June 11, 1998; EO 13158, May 26, 2000; Proc. 5030, March 10, 1983; Proc. 5928, December 27, 1988; Proc. 7219, September 2, 1999"
13179,,2000-12-07,00-31692,
13180,,2000-12-07,00-31697,"Amended by: EO 13264, June 4, 2002"
13181,,2000-12-20,00-33004,
13182,,2000-12-23,00-33450,"Supersedes: EO 13144, December 21, 1999
Superseded by: EO 13249, December 28, 2001"
13183,,2000-12-23,00-33451,"Amended by: EO 13209, April 30, 2001; EO 13319, December 3, 2003; EO 13517, October 30, 2009"
13184,,2000-12-28,01-255,"Revokes: EO 12834, January 20, 1993"
13185,,2000-12-28,01-321,
13186,,2001-01-10,01-1387,
13187,,2001-01-10,01-1438,"Amends: EO 13078, March 13, 1998
Revokes: EO 12640, May 10, 1988"
13188,,2001-01-12,01-1736,"Amends: EO 13111, January 12, 1999
See: EO 13316, September 17, 2003"
13189,,2001-01-15,01-1813,
13190,,2001-01-15,01-1814,
13191,,2001-01-17,01-2014,
13192,,2001-01-17,01-2138,"Amends: EO 13088, June 9, 1998
See: EO 13121, April 30, 1999; Notice of May 24, 2001 
Revoked by: EO 13304, May 28, 2003"
13193,,2001-01-18,01-2139,
13194,,2001-01-18,01-2140,"Amended by: EO 13213, May 22, 2001
See: Notice of January 15, 2002; Notice of January 16, 2003; EO 13312, July 29, 2003
Revoked by: EO 13324, January 15, 2004"
13195,,2001-01-18,01-2141,
13196,,2001-01-18,01-2214,"Amends: EO 13178, December 4, 2000"
13197,,2001-01-18,01-2398,
13198,,2001-01-29,01-2851,"See: EO 13559, November 17, 2010"
13199,,2001-01-29,01-2852,"Amended by: EO 13498, February 5, 2009
See: EO 13559, November 17, 2010"
13200,,2001-02-11,01-3883,"Amends:  EO 13035, February 11, 1997
See:  EO 13092, July 24, 1998; EO 13113, February 10, 1999; EO 13215, May 31, 2001"
13201,,2001-02-17,01-4621,"Revokes: EO 12836, February 1, 1993 (in part)
See:  EO 12800, April 13, 1992
Revoked by: EO 13496, January 30, 2009"
13202,,2001-02-17,01-4622,"Revokes: EO 12836, February 1, 1993; Memorandum of June 5, 1997
See:  EO 12818, October 23, 1992
Amended by: EO 13208, April 6, 2001
Revoked by: EO 13502, February 6, 2009"
13203,,2001-02-17,01-4623,"Revokes: EO 12871, October 1, 1993; Memorandum of October 28, 1999
See:  EO 12983, December 21, 1995; EO 13156, May 17, 2000"
13204,,2001-02-17,01-4624,"Revokes: EO 12933, October 20, 1994
Revoked by: EO 13495, January 30, 2009"
13205,,2001-03-09,01-6558,
13206,,2001-04-04,01-8835,"Revokes: EO 12924, August 19, 1994
See:  EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12938, November 14, 1994; EO 12981, December 5, 1995; EO 13026, November 15, 1996"
13207,,2001-04-05,01-8836,"Amends:  EO 10000, September 16, 1948"
13208,,2001-04-06,01-9086,"Amends:  EO 13202, February 17, 2001
Revoked by: EO 13502, February 6, 2009"
13209,,2001-04-30,01-11210,"Amends:  EO 13183, December 23, 2000"
13210,,2001-05-02,01-11505,"Revoked by: EO 13316, September 17, 2003"
13211,,2001-05-18,01-13116,
13212,,2001-05-18,01-13117,"Amended by: EO 13286, February 28, 2003; EO 13302, May 15, 2003
See:  EO 13337, April 30, 2004"
13213,,2001-05-22,01-13381,"Amends:  EO 13194, January 18, 2001
See:  Notice of January 15, 2002; Notice of January 16, 2003; EO 13312, July 29, 2003
Revoked by: EO 13324, January 15, 2004"
13214,,2001-05-28,01-13869,"Revoked by: EO 13316, September 17, 2003"
13215,,2001-05-31,01-14319,"Amends:  EO 13035, February 11, 1997
See:  EO 13092, July 24, 1998; EO 13113, February 10, 1999; EO 13200, February 11, 2001"
13216,,2001-06-06,01-14862,"Amends:  EO 13125, June 7, 1999"
13217,,2001-06-18,01-15758,
13218,,2001-06-20,01-15958,"Amends:  EO 13111, January 12, 1999
Revokes: EO 13174, October 27, 2000
See:  EO 13316, September 17, 2003"
13219,,2001-06-26,01-16668,"Amended by: EO 13304, May 28, 2003
See:  Notice of June 20, 2003; Notice of June 24, 2004; Notice of June 23, 2005; Notice of June 22, 2006; Notice of June 22, 2007; Notice of June 24, 2008; Notice of June 22, 2009; Notice of June 8, 2010"
13220,,2001-07-02,01-17041,
13221,,2001-07-31,01-19562,
13222,,2001-08-17,01-21338,"See:  EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12735, November 16, 1990; EO 12755, March 12, 1991; EO 12851, June 11, 1993; EO 13026, November 15, 1996; Notice of August 14, 2002 Notice of August 7, 2003; Notice of August 6, 2004; Notice of August 2, 2005; Memorandum of May 12, 2006; PD No. 2006-14 of May 18, 2006; Notice of August 3, 2006; Notice of August 15, 2007; Notice of July 23, 2008; Notice of August 13, 2009; Notice of August 12, 2010"
13223,,2001-09-14,01-23359,"Amended by: EO 13253, January 16, 2002; EO 13286, February 28, 2003
See:  Proclamation 7463, September 14, 2001 (66 FR 48199); Notice of September 12, 2002 (67 FR 58317); Notice of September 10, 2003 (68 FR 53665); Notice of September 10, 2004 (69 FR 55313); Notice of September 8, 2005 (70 FR 54229)"
13224,,2001-09-23,01-24205,"Amended by: EO 13268, July 2, 2002; EO 13284, January 23, 2003 EO 13372, February 16, 2005
See:  Proclamation 7463, September 14, 2001 (66 FR 48199, September 18, 2001); Notice of September 19, 2002; Notice of September 18, 2003; EO 13338, May 11, 2004; Notice of September 21, 2004; Notice of September 21, 2005; Notice of September 21, 2006; Notice of September 20, 2007; Notice of September 18, 2008; Notice of September 21, 2009; Notice of September 16, 2010"
13225,,2001-09-28,01-24917,"Continues: EO 11183, October 3, 1964; EO 11145, March 7, 1964; EO 11287, June 28, 1966; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12345, February 2, 1982; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12900, February 22, 1994; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13021, October 19, 1996 
Revokes: EO 13075, February 19, 1998; EO 13080, April 7, 1998; EO 13090, June 29, 1998; EO 13134, August 12, 1999 (in part); EO 13168, September 22, 2000
Supersedes: EO 13138, September 30, 1999 (in part)
Superseded by: EO 13316, September 17, 2003"
13226,,2001-09-30,01-24983,"Revokes: EO 12882, November 23, 1993; EO 12907, April 14, 1994; EO 13138, September 30, 1999 (in part)
Amended by: EO 13305, May 28, 2003; EO 13349, July 23, 2004; EO 13385, September 29, 2005
Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009
Revoked by: EO 13539, April 21, 2010"
13227,,2001-10-02,01-25344,"Amended by: EO 13255, February 6, 2002
Revoked by: EO 13316, September 17, 2003"
13228,,2001-10-08,01-25677,"Amends:  EO 12656, November 18, 1988
Amended by: EO 13284, January 23, 2003; EO 13286, February 28, 2003
See:  EO 13231, October 16, 2001; EO 13257, February 13, 2002"
13229,,2001-10-09,01-25788,"Amends:  EO 13045, April 21, 1997"
13230,,2001-10-12,01-26339,"Revokes: EO 12900, February 22, 1994"
13231,,2001-10-16,01-26509,"Revokes: EO 13130, July 14, 1999
Amended by: EO 13284, January 23, 2003; EO 13286, February 28, 2003; EO 13316, September 17, 2003; EO 13385, September 29, 2005
Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009
See:  EO 12333, December 4, 1981; EO 12382, September 13, 1982; EO 12472, April 3, 1984; EO 12958, April 17, 1995; EO 13228, October 8, 2001; EO 13585, September 30, 2011"
13232,,2001-10-20,01-26990,"Amends:  EO 10789, November 14, 1958"
13233,,2001-11-01,01-27917,"Revokes: EO 12667, January 18, 1989
Revoked by: EO 13489, January 21, 2009"
13234,,2001-11-09,01-28762,"Federal Register page and date:   66 FR 57355, November 15, 2001
Amended by: EO 13284, January 23, 2003"
13235,,2001-11-16,01-29219,"See:  Notice of September 12, 2002 (67 FR 58317); Notice of September 10, 2003 (68 FR 53665); Notice of September 10, 2004 (69 FR 55313); Notice of September 8, 2005 (70 FR 54229)"
13236,,2001-11-27,01-29831,
13237,,2001-11-28,01-29948,"Amended by: EO 13316, September 17, 2003; EO 13385, September 29, 2005
Continued by: EO 13446, September 28, 2007
Superseded by: EO 13521, November 24, 2009"
13238,,2001-12-05,01-30624,"See:  EO 11582, February 11, 1971"
13239,,2001-12-12,01-31119,
13240,,2001-12-18,01-31665,"Revokes: EO 11957, January 13, 1977
Amended by: EO 13261, March 19, 2002
Revoked by: EO 13542, May 13, 2010"
13241,,2001-12-18,01-31666,
13242,,2001-12-18,01-31667,"Revokes: EO 11880, October 2, 1975; EO 12608, September 9, 1987 (in part); EO 12998, April 5, 1996
Amended by: EO 13261, March 19, 2002"
13243,,2001-12-18,01-31668,"Revokes: EO 11274, March 30, 1966
Amended by: EO 13261, March 19, 2002"
13244,,2001-12-18,01-31669,"Revokes: EO 11487, October 6, 1969
Amended by: EO 13261, March 19, 2002"
13245,,2001-12-18,01-31670,"Revokes: EO 10513, January 19, 1954
Amended by: EO 13261, March 19, 2002"
13246,,2001-12-18,01-31671,"Revokes: EO 11822, December 10, 1974
Amended by: EO 13261, March 19, 2002"
13247,,2001-12-18,01-31672,"Amended by: EO 13261, March 19, 2002
See:  Memorandum of February 12, 2003 (68 FR 10141)"
13248,,2001-12-20,01-31959,
13249,,2001-12-28,02-448,"Supersedes: EO 13182, December 23, 2000"
13250,,2001-12-28,02-917,"Amended by: EO 13261, March 19, 2002
Revoked by: EO 13461, February 15, 2008"
13251,,2001-12-28,02-918,"Revokes: EO 12343, January 27, 1982
Amended by: EO 13261, March 19, 2002"
13252,,2002-01-07,02-919,"Amends: EO 12171, November 19, 1979"
13253,,2002-01-16,02-1594,"Amends: EO 13223, September 14, 2001
See: Notice of September 12, 2002 (67 FR 58317); Notice of September 10, 2003 (68 FR 53665); Notice of September 10, 2004 (69 FR 55313); Notice of September 8, 2005 (70 FR 54229)"
13254,,2002-01-29,02-2638,"Amends: EO 13286, February 28, 2003"
13255,,2002-02-06,02-3337,"Amends: EO 13227, October 2, 2001
See: EO 13316, September 17, 2003"
13256,,2002-02-12,02-3826,"Amended by: EO 13316, September 17, 2003; EO 13385, September 29, 2005
Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009
Revoked by: EO 13532, February 26, 2010
Revokes: EO 12876, November 1, 1993"
13257,,2002-02-13,02-4071,"Amends: EO 13286, February 28, 2003
See: EO 13228, October 8, 2001
Amended by: EO 13333, March 18, 2004"
13258,,2002-02-26,02-5069,"Amends: EO 12866, September 30, 1993
Revoked by: EO 13497, January 30, 2009"
13259,,2002-03-19,02-07085,
13260,,2002-03-19,02-07086,"Amends: EO 13286, February 28, 2003
Revoked by: EO 13286, February 28, 2003 eff. March 31, 2003"
13261,,2002-03-19,02-7087,"Amends: EO 13241, December 18, 2001; EO 13242, December 18, 2001; EO 13243, December 18, 2001; EO 13244, December 18, 2001; EO 13245, December 18, 2001; EO 13246, December 18, 2001; EO 13247, December 18, 2001; EO 13250, December 28, 2001; EO 13251, December 28, 2001
Amended by: EO 13344, July 9, 2004"
13262,,2002-04-11,02-9536,"Amends: EO 12473, April 13, 1984
See: EO 13447, September 28, 2007"
13263,,2002-04-29,02-11166,"Revoked by: EO 13316, September 17, 2003
See: Proclamation 7804 of July 26, 2004"
13264,,2002-06-04,02-14497,"Amends: EO 13180, December 7, 2000"
13265,,2002-06-06,02-14807,"Amended by: EO 13316, September 17, 2003; EO 13385, September 29, 2005; EO 13545, June 22, 2010
Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009
Revokes: EO 12345, February 2, 1982
See: EO 13585, September 30, 2011"
13266,,2002-06-20,02-16040,
13267,,2002-06-20,02-16041,
13268,,2002-07-02,02-16951,"Amends: EO 13224, September 23, 2001
See: EO 13129, July 4, 1999; EO 13371, February 16, 2005"
13269,,2002-07-03,02-17273,
13270,,2002-07-03,02-17274,"Amended by: EO 13316, September 17, 2003; EO 13385, September 29, 2005
Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009
Revokes: EO 13021, October 19, 1996
See: EO 13585, September 30, 2011; EO 13592, December 2, 2011"
13271,,2002-07-09,02-17640,"Amended by: EO 13286, February 28, 2003
Terminated by: EO 13519, November 17, 2009"
13272,,2002-08-13,02-21056,"See: EO 12866, September 30, 1993"
13273,,2002-08-21,02-22526,"See: EO 10173, October 18, 1950"
13274,,2002-09-18,02-24252,"Amends: EO 13286, February 28, 2003"
13275,,2002-10-07,02-25900,
13276,,2002-11-15,02-29580,"See: EO 12807, May 24, 1992
Amends: EO 13286, February 28, 2003"
13277,,2002-11-19,02-29832,"Amends: EO 11846, March 27, 1975
Amended by: EO 13346, July 8, 2004"
13278,,2002-12-11,02-31624,"Revoked by: EO 13316, September 17, 2003"
13279,,2002-12-12,02-31831,"Amends: EO 11246, September 24, 1965
Amended by: EO 13403, May 12, 2006; EO 13559, November 17, 2010"
13280,,2002-12-12,02-31832,
13281,,2002-12-19,02-32518,
13282,,2002-12-31,03-464,"Superseded by: EO 13322, December 30, 2003"
13283,,2003-01-21,03-1798,"See:  EO 12333, December 4, 1981
Revoked by: EO 13385, September 29, 2005"
13284,,2003-01-23,03-2069,"Amends:  EO 10865, February 20, 1960; EO 11423, August 16, 1968; EO 11958, January 18, 1977; EO 12260, December 31, 1980; EO 12333, December 4, 1981; EO 12590, March 26, 1987; EO 12859, August 16, 1993; EO 12881, November 23, 1993; EO 12992, March 15, 1996; EO 13011, July 16, 1996; EO 13048, June 10, 1997; EO 13122, May 25, 1999; EO 13151, April 27, 2000; EO 13224, September 23, 2001; EO 13228, October 8, 2001; EO 13231, October 16, 2001; EO 13234, November 9, 2001
See:  EO 12829, January 6, 1993; EO 12958, April 17, 1995; EO 12968, August 2, 1995; EO 13286, February 28, 2003; EO 13371, February 16, 2005"
13285,,2003-01-29,03-2606,"Amended by: EO 13371, February 16, 2005; EO 13424, January 26, 2007; EO 13471, August 28, 2008"
13286,,2003-02-28,03-5343,"Amends:  EO 4601, March 1, 1927; EO 10113, February 24, 1950; EO 10163, September 25, 1950; EO 10179, November 8, 1950; EO 10271, July 7, 1951; EO 10448, April 22, 1953; EO 10499, November 4, 1953; EO 10554, August 18, 1954; EO 10631, August 17, 1955; EO 10637, September 16, 1955; EO 10694, January 10, 1957; EO 10789, November 14, 1958; EO 10977, December 4, 1961; EO 11016, April 25, 1962; EO 11046, August 24, 1962; EO 11079, January 25, 1963; EO 11139, January 7, 1964; EO 11190, December 29, 1964; EO 11231, July 8, 1965; EO 11239, July 31, 1965; EO 11366, August 4, 1967; EO 11438, December 3, 1968; EO 11446, January 16, 1969; EO 11448, January 16, 1969; EO 11623, October 12, 1971; EO 11645, February 8, 1972; EO 11800, August 17, 1974; EO 11858, May 7, 1975; EO 11926, July 19, 1976; EO 11965, January 19, 1977; EO 12002, July 7, 1977; EO 12146, July 18, 1979; EO 12148, July 20, 1979; EO 12160, September 26, 1979; EO 12188, January 2, 1980; EO 12208, April 15, 1980; EO 12341, January 21, 1982; EO 12382, September 13, 1982; EO 12472, April 3, 1984; EO 12501, January 28, 1985; EO 12555, March 10, 1986; EO 12580, January 23, 1987; EO 12656, November 18, 1988; EO 12657, November 18, 1988; EO 12699, January 5, 1990; EO 12727, August 22, 1990; EO 12728, August 22, 1990; EO 12733, November 13, 1990; EO 12742, January 8, 1991; EO 12743, January 18, 1991; EO 12777, October 18, 1991; EO 12788, January 15, 1992; EO 12789, February 10, 1992; EO 12793, March 20, 1992; EO 12807, May 24, 1992; EO 12824, December 7, 1992; EO 12830, January 9, 1993; EO 12835, January 25, 1993; EO 12870, September 30, 1993; EO 12906, April 11, 1994; EO 12919, June 3, 1994; EO 12977, October 19, 1995; EO 12978, October 21, 1995; EO 12982, December 8, 1995; EO 12985, January 11, 1996; EO 12989, February 13, 1996; EO 13011, July 16, 1996; EO 13076, February 24, 1998; EO 13100, August 25, 1998; EO 13112, February 3, 1999; EO 13120, April 27, 1999; EO 13133, August 5, 1999; EO 13154, May 3, 2000; EO 13165, August 9, 2000; EO 13212, May 18, 2001; EO 13223, September 14, 2001; EO 13228, October 8, 2001; EO 13231, October 16, 2001; EO 13254, January 29, 2002; EO 13257, February 13, 2002; EO 13260, March 19, 2002; EO 13271, July 9, 2002; EO 13274, September 18, 2002; EO 13276, November 15, 2002
Amended by: EO 13442, August 13, 2007
Revokes: EO 13260, March 19, 2002 eff. March 31, 2002
See:  EO 13130, July 14, 1999; EO 13284, January 23, 2003; Notice of September 10, 2003 (68 FR 53665); Notice of September 10, 2004 (69 FR 55313); EO 13362, November 29, 2004; EO 13373, March 10, 2005; Notice of September 8, 2005 (70 FR 54229)
"
13287,,2003-03-03,03-05344,
13288,,2003-03-06,03-5848,"Amended by: EO 13391, November 22, 2005
Superseded in part by: EO 13391, November 22, 2005
See:  Notice of March 2, 2004; Notice of March 2, 2005; Notice of February 27, 2006; Notice of February 28, 2007; Notice of March 4, 2008; EO 13469, July 25, 2008; Notice of March 3, 2009; Notice of March 1, 2010"
13289,,2003-03-12,03-6445,"See:  EO 10977, December 4, 1961; EO 12985, January 11, 1996; EO 13363, November 29, 2004"
13290,,2003-03-20,03-7160,"See:  EO 13303, May 22, 2003; Notice of July 31, 2003 (68 FR 45739); Notice of May 19, 2005 (70 FR 29435)
Amended by: EO 13350, July 29, 2004"
13291,,2003-03-21,03-7313,"Amends:  EO 13282, December 31, 2002
See:  EO 13322, December 30, 2003"
13292,,2003-03-25,03-7736,"Amends:  EO 12958, April 17, 1995
Revoked by: EO 13526, December 29, 2009
See:  EO 12356, April 6, 1982"
13293,,2003-03-28,03-8108,"Amends:  EO 10448, April 22, 1953
See:  EO 12776, October 8, 1991"
13294,,2003-03-28,03-8109,"Revokes: EO 11157, June 22, 1964; EO 11800, August 17, 1974"
13295,,2003-04-04,03-8832,"Revokes: EO 12452, December 22, 1983
Amended by: EO 13375, April 1, 2005"
13296,,2003-04-18,03-10194,"Amends:  EO 13045, April 21, 1997"
13297,,2003-04-23,03-10606,
13298,,2003-05-06,03-11713,"Revokes: EO 12865, September 26, 1993; EO 13069, December 12, 1997; EO 13098, August 18, 1998"
13299,,2003-05-08,03-11969,"Superseded by: EO 13537, April 14, 2010"
13300,,2003-05-09,03-12071,
13301,,2003-05-14,03-12661,"Amends:  EO 12863, September 13, 1993; EO 13070, December 15, 1997
See: EO 13376, April 13, 2005"
13302,,2003-05-15,03-12766,"Amends:  EO 13212, May 18, 2001"
13303,,2003-05-22,03-13412,"Amended by: EO 13364, November 29, 2004"
